Risk Factor Pathway,Sector,Model,Scenario,Geography,Units,2010,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
Direct emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year,0,4366513.796,8733027.592,253965439.6,-53854963.42,-571488115.7,-1471502597,-2531347155,-3524756734,-4562351270,-5854451022
Direct emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,0,1118084.969,2236169.938,147904435.1,4857338.654,-145813401.5,-366335578.1,-571951531.3,-754185126.7,-966547900,-1169057695
Direct emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,0,117545.385,235090.7699,29948161.71,1842390.594,-67591307.14,-264151416.5,-523035683.5,-782861221.6,-1023255849,-1260076760
Direct emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,0,31830.45272,63660.90544,4220336.383,-29770879.26,-138640047.3,-302335465.3,-525042484.5,-689619832,-807087939.7,-1046499162
Direct emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,0,73541.89806,147083.7961,13147102.99,2662250.705,-2783316.831,-21739635.68,-59084620.4,-106532259.2,-196162489,-361797966
Direct emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,0,2724488.143,5448976.286,58745396.57,-33446064.11,-216660033.8,-516940546,-852233173.9,-1191558157,-1569298282,-2017020772
Direct emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year,0,4366513.796,8733027.592,10223945.1,16611259.72,26574444.88,41865156.68,60221924.38,84790701.52,107859661.7,134369960
Direct emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5ASIA,$ 2010/local currency per year,0,1113724.577,2227449.154,3057412.081,7119786.456,12855095.43,20612747.46,29666262.05,42506814.63,54697169.58,68817199.14
Direct emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5MAF,$ 2010/local currency per year,0,117545.385,235090.7699,375124.7276,1287151.889,3448354.979,7797768.444,14042883.28,22679813.69,32645915.59,44326293.34
Direct emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5LAM,$ 2010/local currency per year,0,31830.45272,63660.90544,83131.01465,325549.5302,1124191.454,2997855.842,5628446.135,8595339.553,10704844.55,11658926.74
Direct emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5REF,$ 2010/local currency per year,0,73541.89806,147083.7961,190486.4656,566956.8576,1140186.066,1786634.219,2283464.497,2609244.566,2822144.902,3233285.175
Direct emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,0,2721406.904,5442813.808,5707764.748,6172291.156,6448234.869,6763996.835,6737732.689,6875143.81,6137373.134,6334242.431
Direct emissions cost,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,World,$ 2010/local currency per year,0,490320.2335,980640.467,202596005.9,80846380.86,-259520743.8,-1222544205,-2684784299,-4894336043,-8722866972,-15703783244
Direct emissions cost,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,0,24151.70362,48303.40724,69861277.32,21644151.09,-104304773.8,-292079094.1,-615680903.2,-1110249331,-2006635370,-3489504076
Direct emissions cost,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,0,31065.87684,62131.75368,39709995.33,29291291.84,-26046627.38,-204086357.4,-444825571.1,-741231086.7,-1297228579,-2651814801
Direct emissions cost,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,0,0,0,7647080.169,3490992.622,-51599779.88,-426565338.7,-895220520.9,-1636567481,-2867906606,-4997281208
Direct emissions cost,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,0,0,0,14623462.37,5120688.31,-5219636.75,-15092033.9,-59621401.52,-125320927.9,-236764757.4,-444639512.3
Direct emissions cost,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,0,3216.969512,6433.939024,66548753.99,16637950,-76015352.44,-286656649.2,-669930640.5,-1281081311,-2314332065,-4120544043
