year,value,model,scenario,region,variable
2010,14.96707,AIM/CGE 2.1,NPi,World,Coal
2010,17.87469,AIM/CGE 2.1,NPi,World,Gas
2010,12.22564,AIM/CGE 2.1,NPi,World,Oil
2020,5.249491,AIM/CGE 2.1,NPi,World,Coal
2020,16.3777,AIM/CGE 2.1,NPi,World,Gas
2020,12.51553,AIM/CGE 2.1,NPi,World,Oil
2030,5.706359,AIM/CGE 2.1,NPi,World,Coal
2030,13.21424,AIM/CGE 2.1,NPi,World,Gas
2030,12.69223,AIM/CGE 2.1,NPi,World,Oil
2040,7.085346,AIM/CGE 2.1,NPi,World,Coal
2040,12.27573,AIM/CGE 2.1,NPi,World,Gas
2040,5.375772,AIM/CGE 2.1,NPi,World,Oil
2050,14.66229,AIM/CGE 2.1,NPi,World,Coal
2050,12.34314,AIM/CGE 2.1,NPi,World,Gas
2050,2.078937,AIM/CGE 2.1,NPi,World,Oil
2060,17.83342,AIM/CGE 2.1,NPi,World,Coal
2060,7.692955,AIM/CGE 2.1,NPi,World,Gas
2060,1.101249,AIM/CGE 2.1,NPi,World,Oil
2070,17.61187,AIM/CGE 2.1,NPi,World,Coal
2070,5.056526,AIM/CGE 2.1,NPi,World,Gas
2070,0.414751,AIM/CGE 2.1,NPi,World,Oil
2080,17.5999,AIM/CGE 2.1,NPi,World,Coal
2080,2.476587,AIM/CGE 2.1,NPi,World,Gas
2080,2.790925,AIM/CGE 2.1,NPi,World,Oil
2090,19.40701,AIM/CGE 2.1,NPi,World,Coal
2090,11.24222,AIM/CGE 2.1,NPi,World,Gas
2090,-11.9772,AIM/CGE 2.1,NPi,World,Oil
2010,12.80456,AIM/CGE 2.1,NPi2020_1000,World,Coal
2010,17.17093,AIM/CGE 2.1,NPi2020_1000,World,Gas
2010,11.12564,AIM/CGE 2.1,NPi2020_1000,World,Oil
2020,-59.4673,AIM/CGE 2.1,NPi2020_1000,World,Coal
2020,-5.6642,AIM/CGE 2.1,NPi2020_1000,World,Gas
2020,-6.09554,AIM/CGE 2.1,NPi2020_1000,World,Oil
2030,-10.7423,AIM/CGE 2.1,NPi2020_1000,World,Coal
2030,-14.9011,AIM/CGE 2.1,NPi2020_1000,World,Gas
2030,-13.6098,AIM/CGE 2.1,NPi2020_1000,World,Oil
2040,13.77744,AIM/CGE 2.1,NPi2020_1000,World,Coal
2040,18.16122,AIM/CGE 2.1,NPi2020_1000,World,Gas
2040,11.28167,AIM/CGE 2.1,NPi2020_1000,World,Oil
2050,1.038841,AIM/CGE 2.1,NPi2020_1000,World,Coal
2050,-1.65633,AIM/CGE 2.1,NPi2020_1000,World,Gas
2050,-5.46355,AIM/CGE 2.1,NPi2020_1000,World,Oil
2060,2.419852,AIM/CGE 2.1,NPi2020_1000,World,Coal
