year,value,category,variable,model,scenario,region,unit
2020,317449104000.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2040,569784508020.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2060,1520867472630.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2080,2642178367760.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2100,2850325880970.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year
2020,237779774690.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,Asia (No Japan),$ 2010/local currency per year
2040,388341156620.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,Asia (No Japan),$ 2010/local currency per year
2060,783545517660.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,Asia (No Japan),$ 2010/local currency per year
2080,1105478203560.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,Asia (No Japan),$ 2010/local currency per year
2100,1078555148060.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,Asia (No Japan),$ 2010/local currency per year
2020,16540311540.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,Mid. East + Africa,$ 2010/local currency per year
2040,83168200700.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,Mid. East + Africa,$ 2010/local currency per year
2060,434453255560.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,Mid. East + Africa,$ 2010/local currency per year
2080,989184996220.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,Mid. East + Africa,$ 2010/local currency per year
2100,1291325097040.00,Revenue,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,Mid. East + Africa,$ 2010/local currency per year
