year,value,model,scenario,region,variable
2020,0.8767,AIM/CGE 2.1,NPi,World,Coal
2020,-9.6456,AIM/CGE 2.1,NPi2020_1000,World,Coal
2020,-10.1102,AIM/CGE 2.1,NPi2020_400,World,Coal
2020,1.8089,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2020,-6.6207,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2020,-7.8416,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2020,4.4101,WITCH-GLOBIOM 4.4,NPi,World,Coal
2020,-8.1991,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2020,-8.8688,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2020,-4.7276,IMAGE 3.0.1,NPi2020_1000,World,Coal
2020,-6.6509,IMAGE 3.0.1,NPi2020_400,World,Coal
2020,2.9316,IMAGE 3.0.1,NPi,World,Coal
2020,1.6534,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2020,-9.053,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal
2020,-9.4599,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Coal
2020,2.5513,AIM/CGE 2.1,NPi,World,Gas
2020,-0.8734,AIM/CGE 2.1,NPi2020_1000,World,Gas
2020,-1.4269,AIM/CGE 2.1,NPi2020_400,World,Gas
2020,2.6048,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2020,3.4135,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2020,1.9877,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
2020,3.8639,WITCH-GLOBIOM 4.4,NPi,World,Gas
2020,-5.2971,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2020,-7.5089,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2020,-0.9197,IMAGE 3.0.1,NPi2020_1000,World,Gas
2020,-2.2979,IMAGE 3.0.1,NPi2020_400,World,Gas
2020,3.7536,IMAGE 3.0.1,NPi,World,Gas
2020,3.8098,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2020,0.3825,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Gas
2020,-2.5569,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Gas
2020,2.8969,AIM/CGE 2.1,NPi,World,Oil
2020,-1.3908,AIM/CGE 2.1,NPi2020_1000,World,Oil
2020,-2.206,AIM/CGE 2.1,NPi2020_400,World,Oil
2020,2.7345,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2020,2.1599,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2020,-4.2962,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2020,4.2584,WITCH-GLOBIOM 4.4,NPi,World,Oil
2020,-2.7116,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2020,-7.5291,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2020,-4.0363,IMAGE 3.0.1,NPi2020_1000,World,Oil
2020,-4.8644,IMAGE 3.0.1,NPi2020_400,World,Oil
2020,-1.5946,IMAGE 3.0.1,NPi,World,Oil
2020,2.5144,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2020,2.1312,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Oil
2020,0.7511,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Oil
2030,0.953,AIM/CGE 2.1,NPi,World,Coal
2030,-1.7424,AIM/CGE 2.1,NPi2020_1000,World,Coal
2030,-1.6913,AIM/CGE 2.1,NPi2020_400,World,Coal
2030,0.9291,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2030,-1.5807,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2030,-0.7025,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2030,3.5985,WITCH-GLOBIOM 4.4,NPi,World,Coal
2030,0.0465,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2030,0.1009,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2030,-5.3098,IMAGE 3.0.1,NPi2020_1000,World,Coal
2030,-5.1472,IMAGE 3.0.1,NPi2020_400,World,Coal
2030,2.0094,IMAGE 3.0.1,NPi,World,Coal
2030,4.1928,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2030,-3.5377,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal
2030,-3.6455,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Coal
2030,2.0585,AIM/CGE 2.1,NPi,World,Gas
2030,-2.2977,AIM/CGE 2.1,NPi2020_1000,World,Gas
2030,-3.2196,AIM/CGE 2.1,NPi2020_400,World,Gas
2030,4.6739,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2030,4.1969,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2030,3.0697,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
2030,2.9202,WITCH-GLOBIOM 4.4,NPi,World,Gas
2030,-0.9746,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2030,-1.6525,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2030,-0.7114,IMAGE 3.0.1,NPi2020_1000,World,Gas
